hw(rs1),HW
25,168
20,111
13,164
15,202
7,147
23,175
24,194
24,212
25,209
19,166
19,198
18,171
25,133
4,76
21,206
22,198
22,154
6,155
13,172
12,180
4,118
6,103
12,196
0,14
21,178
8,85
6,109
17,172
10,171
19,215
11,151
25,233
6,146
20,223
24,172
25,205
15,166
17,171
26,200
9,181
16,174
17,190
16,160
24,131
13,148
14,195
23,131
15,188
20,218
5,133
25,195
20,193
24,224
2,55
11,200
22,156
20,168
2,68
13,188
3,98
18,109
7,162
9,178
22,156
21,154
6,157
23,168
7,142
13,192
24,183
26,167
24,220
18,115
16,177
3,114
11,180
10,157
12,169
16,200
9,188
27,208
8,167
10,176
22,194
23,179
26,183
21,185
23,197
21,165
17,162
12,180
9,169
27,238
19,117
21,176
8,141
22,129
23,177
27,232
22,224
5,126
15,182
25,159
15,186
27,221
21,218
21,206
26,199
21,170
21,154
20,202
17,179
25,194
19,204
22,218
17,196
1,37
4,103
23,198
6,142
25,130
8,134
17,161
15,151
12,191
17,206
22,216
0,14
22,190
8,165
13,164
17,187
22,207
26,227
8,128
11,194
0,14
13,192
9,125
19,196
8,186
24,217
0,18
13,190
27,218
3,100
18,193
17,163
16,168
2,65
12,174
9,172
20,178
9,135
24,218
17,194
16,187
12,201
20,211
9,87
2,52
0,20
4,133
27,247
1,48
19,188
22,158
0,18
11,192
19,195
11,96
5,137
19,227
19,177
24,218
6,154
24,214
26,219
21,198
3,112
14,141
21,204
10,137
6,128
14,176
14,185
3,75
8,178
21,200
9,170
14,101
6,120
12,205
2,71
3,88
18,213
16,212
6,152
10,153
22,221
19,168
13,150
23,156
9,98
7,180
22,209
15,172
14,205
20,209
21,188
8,189
24,195
23,206
0,20
4,131
26,193
27,218
23,221
24,227
18,187
11,182
13,202
22,217
22,204
24,229
22,203
6,172
24,165
8,143
17,204
22,184
9,174
19,187
23,121
12,200
2,73
24,190
14,186
22,133
0,16
23,195
8,146
13,162
2,56
17,160
2,72
9,176
0,14
25,236
12,188
3,100
16,161
6,124
17,201
18,212
24,208
24,214
24,167
14,188
25,183
15,215
7,120
20,141
16,158
4,91
21,194
8,164
6,163
16,164
18,184
28,193
2,55
1,58
10,185
0,18
13,202
8,110
11,180
23,131
16,181
23,180
23,165
12,186
23,207
4,139
26,234
3,97
3,77
2,66
25,227
0,16
25,134
24,209
16,104
15,205
11,174
3,88
5,133
16,195
21,200
21,188
9,143
18,177
6,141
18,114
23,207
10,181
25,227
16,123
16,143
14,197
8,171
10,191
20,188
22,220
9,149
25,216
23,156
1,48
13,193
4,83
20,177
20,198
11,124
26,230
22,189
19,166
14,144
7,158
0,18
26,179
9,170
26,193
6,142
6,150
14,168
24,198
12,145
24,184
20,144
19,220
11,161
20,193
1,36
12,195
20,193
12,144
5,94
11,194
24,217
20,165
16,206
25,222
12,151
17,211
18,190
21,115
20,217
20,207
1,48
23,209
16,208
25,131
23,228
21,214
4,117
11,175
13,157
10,170
23,205
23,203
20,218
21,211
6,127
14,190
23,208
3,94
25,221
21,189
24,184
19,153
21,181
14,177
15,204
6,164
23,188
16,192
2,89
4,108
11,181
16,177
24,193
25,223
13,144
24,188
0,14
17,205
13,209
12,159
23,186
4,123
18,193
17,209
9,138
19,187
11,160
1,48
19,192
24,224
20,116
17,223
25,201
24,199
21,203
22,170
8,136
24,218
20,202
8,136
24,205
10,167
23,187
20,174
22,157
10,140
3,73
15,146
7,175
26,235
5,133
17,206
26,214
23,148
7,128
12,196
20,150
22,174
6,159
0,18
21,146
12,169
5,63
25,168
15,167
11,179
22,174
17,219
12,187
5,131
16,105
26,204
14,158
23,204
4,123
17,185
24,176
23,123
9,139
25,215
12,105
15,201
17,171
20,189
22,212
4,100
11,170
9,166
7,153
7,152
14,172
22,186
22,185
25,226
25,237
23,162
16,110
25,188
17,200
20,174
2,70
20,205
23,179
5,74
19,193
22,218
2,72
25,211
23,213
1,37
20,204
25,213
6,155
22,172
25,214
